店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category
かめ屋質店,吉原町,digital,かめ屋質店,〒820-0040 福岡県飯塚市吉原町７−２１ 扶桑ビル,33.6404379,130.686858,店舗
フジイ進物店,飯塚,digital,（株）フジイ進物店,〒820-0041 福岡県飯塚市飯塚１１−２６,33.6367052,130.6861046,店舗
もりまさ薬局,上三緒,digital,もりまさ薬局,〒820-0013 福岡県飯塚市上三緒１７７−２２,33.6224288,130.7165619,健康・医療
げんき屋,川津,digital,焼鳥 げんき屋,〒820-0067 福岡県飯塚市川津２８３−１,33.6511351,130.6785974,飲食店
マックハウスゆめタウン飯塚店,菰田西,digital,マックハウス ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2F,33.6303356,130.6853387,衣料品店
セブンイレブン飯塚鶴三緒店,鶴三緒,digital,セブン-イレブン 飯塚鶴三緒店,〒820-0014 福岡県飯塚市鶴三緒１５４８−２,33.6245528,130.6996706,コンビニ
佐藤眼鏡店(メガネのサトー),本町,digital,メガネのサトー本町店,〒820-0042 福岡県飯塚市本町７−２０ 商店街,33.6399219,130.684705,健康・医療
やきとりの炭活,吉原町,digital,やきとりの炭活,〒820-0040 福岡県飯塚市吉原町８−４７,33.6400415,130.6870729,飲食店
Cut in Murashi,飯塚,digital,カットインムラシ美容室,〒820-0041 福岡県飯塚市飯塚４−１９ アークスビル,33.6373578,130.6865328,美容室
居酒屋落花生,上三緒,digital,落花生,〒820-0013 福岡県飯塚市上三緒４４５−１７,33.6256907,130.7154942,飲食店
aruk cafe,川津,digital,aruk cafe（アルクカフェ),〒820-0067 福岡県飯塚市川津２７１−２,33.6505855,130.6790493,カフェ
マルイチ商会,菰田西,digital,マルイチ商会,〒820-0017 福岡県飯塚市菰田西３丁目４−１,33.6314038,130.6866424,その他
寿司海鮮和食処 やますい,鶴三緒,digital,寿司海鮮和食処 やますい,〒820-0014 福岡県飯塚市鶴三緒１０９９−３,33.6274483,130.7010966,飲食店
しまづ者,本町,digital,海鮮居酒屋 しまづ者,〒820-0042 福岡県飯塚市本町８−７,33.6395675,130.6859262,飲食店
ファミリーショップそうあい,吉原町,digital,（有）ソウアイ,〒820-0040 福岡県飯塚市吉原町７−２１,33.6403609,130.6868951,宝飾店
元野木書店,飯塚,digital,（株）元野木書店,〒820-0041 福岡県飯塚市飯塚１８−３,33.6369614,130.6846128,書店
